codigo;nr;gradacao
124260-1;NR-24;I2
124261-0;NR-24;I2
124262-8;NR-24;I2
124263-6;NR-24;I2
124264-4;NR-24;I2
124265-2;NR-24;I2
124266-0;NR-24;I2
124267-9;NR-24;I2
124268-7;NR-24;I2
124269-5;NR-24;I2
124270-9;NR-24;I2
124271-7;NR-24;I2
124272-5;NR-24;I2
124273-3;NR-24;I2
124274-1;NR-24;I2
124275-0;NR-24;I2
124276-8;NR-24;I2
124277-6;NR-24;I2
124278-4;NR-24;I2
124279-2;NR-24;I2
124280-6;NR-24;I2
124281-4;NR-24;I2
124282-2;NR-24;I2
124283-0;NR-24;I2
124284-9;NR-24;I2
124285-7;NR-24;I2
124286-5;NR-24;I2
124287-3;NR-24;I2
124288-1;NR-24;I2
124289-0;NR-24;I2
124290-3;NR-24;I2
124291-1;NR-24;I2
124292-0;NR-24;I2
124293-8;NR-24;I2
124294-6;NR-24;I2
124295-4;NR-24;I2
124296-2;NR-24;I2
124297-0;NR-24;I2
124298-9;NR-24;I2
124299-7;NR-24;I2
124300-4;NR-24;I2
124301-2;NR-24;I2
124302-0;NR-24;I2
124303-9;NR-24;I2
124304-7;NR-24;I2
124305-5;NR-24;I2
125019-1;NR-25;I3
125020-5;NR-25;I4
125021-3;NR-25;I3
125022-1;NR-25;I3
125023-0;NR-25;I4
125024-8;NR-25;I4
125025-6;NR-25;I4
125026-4;NR-25;I3
126056-1;NR-26;I2
126057-0;NR-26;I2
126058-8;NR-26;I3
126059-6;NR-26;I2
126060-0;NR-26;I4
126061-8;NR-26;I2
126062-6;NR-26;I3
130778-9;NR-30;I3
130779-7;NR-30;I3
130780-0;NR-30;I3
130781-9;NR-30;I3
130782-7;NR-30;I1
130783-5;NR-30;I3
130784-3;NR-30;I2
130785-1;NR-30;I2
130786-0;NR-30;I3
130787-8;NR-30;I2
130788-6;NR-30;I2
130789-4;NR-30;I4
130790-8;NR-30;I3
130791-6;NR-30;I3
130792-4;NR-30;I2
130793-2;NR-30;I1
130794-0;NR-30;I2
130795-9;NR-30;I1
130796-7;NR-30;I2
130797-5;NR-30;I2
130798-3;NR-30;I3
130799-1;NR-30;I3
130800-9;NR-30;I2
130801-7;NR-30;I2
130802-5;NR-30;I2
130803-3;NR-30;I4
130804-1;NR-30;I2
130805-0;NR-30;I2
130806-8;NR-30;I3
130807-6;NR-30;I4
130808-4;NR-30;I2
130809-2;NR-30;I2
130810-6;NR-30;I2
130811-4;NR-30;I2
130812-2;NR-30;I3
130813-0;NR-30;I3
130814-9;NR-30;I3
130815-7;NR-30;I3
130816-5;NR-30;I3
130817-3;NR-30;I3
130818-1;NR-30;I3
130819-0;NR-30;I3
130820-3;NR-30;I3
130821-1;NR-30;I3
130822-0;NR-30;I3
130823-8;NR-30;I3
130824-6;NR-30;I3
130825-4;NR-30;I3
130826-2;NR-30;I3
130827-0;NR-30;I3
130828-9;NR-30;I3
130829-7;NR-30;I3
130830-0;NR-30;I3
130831-9;NR-30;I3
130832-7;NR-30;I3
130833-5;NR-30;I3
130834-3;NR-30;I3
130835-1;NR-30;I3
130836-0;NR-30;I3
130837-8;NR-30;I3
130838-6;NR-30;I3
130839-4;NR-30;I3
130840-8;NR-30;I3
130841-6;NR-30;I3
130842-4;NR-30;I3
130843-2;NR-30;I3
130844-0;NR-30;I3
130845-9;NR-30;I3
130846-7;NR-30;I3
130847-5;NR-30;I3
130848-3;NR-30;I3
130849-1;NR-30;I3
130850-5;NR-30;I2
130851-3;NR-30;I3
130852-1;NR-30;I3
130853-0;NR-30;I3
130854-8;NR-30;I3
130855-6;NR-30;I3
130856-4;NR-30;I3
130857-2;NR-30;I2
130858-0;NR-30;I2
130859-9;NR-30;I2
130860-2;NR-30;I3
130861-0;NR-30;I3
130862-9;NR-30;I1
130863-7;NR-30;I2
130864-5;NR-30;I1
130865-3;NR-30;I2
130866-1;NR-30;I2
130867-0;NR-30;I3
130868-8;NR-30;I1
130869-6;NR-30;I1
130870-0;NR-30;I2
130871-8;NR-30;I2
130872-6;NR-30;I2
130873-4;NR-30;I3
130874-2;NR-30;I2
130875-0;NR-30;I2
130876-9;NR-30;I3
130877-7;NR-30;I3
130878-5;NR-30;I4
130879-3;NR-30;I3
130880-7;NR-30;I3
130881-5;NR-30;I3
130882-3;NR-30;I3
130883-1;NR-30;I3
130884-0;NR-30;I3
130885-8;NR-30;I3
130886-6;NR-30;I3
130887-4;NR-30;I3
130888-2;NR-30;I3
130889-0;NR-30;I3
130890-4;NR-30;I3
130891-2;NR-30;I2
130892-0;NR-30;I1
130893-9;NR-30;I3
130894-7;NR-30;I3
130895-5;NR-30;I3
130896-3;NR-30;I3
130897-1;NR-30;I2
130898-0;NR-30;I3
130899-8;NR-30;I4
130900-5;NR-30;I3
130901-3;NR-30;I2
130902-1;NR-30;I3
130903-0;NR-30;I3
130904-8;NR-30;I3
130905-6;NR-30;I3
130906-4;NR-30;I3
130907-2;NR-30;I3
130908-0;NR-30;I3
130909-9;NR-30;I3
130910-2;NR-30;I3
130911-0;NR-30;I3
130912-9;NR-30;I3
130913-7;NR-30;I3
130914-5;NR-30;I3
130915-3;NR-30;I3
130916-1;NR-30;I3
130917-0;NR-30;I3
130918-8;NR-30;I3
130919-6;NR-30;I3
130920-0;NR-30;I3
130921-8;NR-30;I3
130922-6;NR-30;I3
130923-4;NR-30;I3
130924-2;NR-30;I2
130925-0;NR-30;I2
130926-9;NR-30;I3
130927-7;NR-30;I3
130928-5;NR-30;I3
130929-3;NR-30;I3
130930-7;NR-30;I3
130931-5;NR-30;I3
130932-3;NR-30;I2
130933-1;NR-30;I3
130934-0;NR-30;I3
130935-8;NR-30;I3
130936-6;NR-30;I3
130937-4;NR-30;I3
130938-2;NR-30;I3
130939-0;NR-30;I3
130940-4;NR-30;I4
130941-2;NR-30;I3
130942-0;NR-30;I2
130943-9;NR-30;I3
130944-7;NR-30;I3
130945-5;NR-30;I3
130946-3;NR-30;I3
130947-1;NR-30;I3
130948-0;NR-30;I3
130949-8;NR-30;I3
130950-1;NR-30;I3
130951-0;NR-30;I2
130952-8;NR-30;I2
130953-6;NR-30;I2
130954-4;NR-30;I2
130955-2;NR-30;I2
130956-0;NR-30;I2
130957-9;NR-30;I2
130958-7;NR-30;I2
130959-5;NR-30;I2
130960-9;NR-30;I2
130961-7;NR-30;I2
130962-5;NR-30;I1
130963-3;NR-30;I2
130964-1;NR-30;I2
130965-0;NR-30;I2
130966-8;NR-30;I2
130967-6;NR-30;I2
130968-4;NR-30;I2
130969-2;NR-30;I2
130970-6;NR-30;I2
130971-4;NR-30;I1
130972-2;NR-30;I3
130973-0;NR-30;I3
130974-9;NR-30;I3
130975-7;NR-30;I3
130976-5;NR-30;I2
130977-3;NR-30;I3
130978-1;NR-30;I3
132033-5;NR-32;I4
132036-0;NR-32;I3
132039-4;NR-32;I3
132040-8;NR-32;I4
132041-6;NR-32;I4
132044-0;NR-32;I4
132051-3;NR-32;I4
132071-8;NR-32;I4
132080-7;NR-32;I3
132081-5;NR-32;I3
132083-1;NR-32;I3
132090-4;NR-32;I3
132103-0;NR-32;I3
132104-8;NR-32;I4
132105-6;NR-32;I4
132106-4;NR-32;I4
132121-8;NR-32;I4
132131-5;NR-32;I3
132133-1;NR-32;I4
132146-3;NR-32;I3
132147-1;NR-32;I4
132162-5;NR-32;I3
132163-3;NR-32;I3
132164-1;NR-32;I4
132165-0;NR-32;I4
132166-8;NR-32;I3
132167-6;NR-32;I4
132185-4;NR-32;I4
132211-7;NR-32;I3
132219-2;NR-32;I3
132220-6;NR-32;I4
132300-8;NR-32;I3
132301-6;NR-32;I3
132317-2;NR-32;I4
132339-3;NR-32;I3
132350-4;NR-32;I3
132351-2;NR-32;I3
132352-0;NR-32;I3
132359-8;NR-32;I3
132360-1;NR-32;I3
132361-0;NR-32;I4
132362-8;NR-32;I3
132363-6;NR-32;I2
132364-4;NR-32;I3
132365-2;NR-32;I3
132366-0;NR-32;I3
132367-9;NR-32;I3
132370-9;NR-32;I2
132371-7;NR-32;I4
132374-1;NR-32;I3
132382-2;NR-32;I3
132394-6;NR-32;I2
132395-4;NR-32;I2
132398-9;NR-32;I4
132399-7;NR-32;I4
132405-5;NR-32;I3
132406-3;NR-32;I2
132407-1;NR-32;I3
132408-0;NR-32;I3
132412-8;NR-32;I2
132423-3;NR-32;I3
132436-5;NR-32;I4
132437-3;NR-32;I3
132489-6;NR-32;I3
132491-8;NR-32;I4
132492-6;NR-32;I4
132493-4;NR-32;I3
132494-2;NR-32;I2
132495-0;NR-32;I4
132497-7;NR-32;I3
132498-5;NR-32;I2
132499-3;NR-32;I2
132500-0;NR-32;I2
132501-9;NR-32;I2
132502-7;NR-32;I2
132503-5;NR-32;I2
132504-3;NR-32;I2
132505-1;NR-32;I2
132506-0;NR-32;I2
132507-8;NR-32;I2
132508-6;NR-32;I2
132509-4;NR-32;I3
132510-8;NR-32;I3
132511-6;NR-32;I2
132512-4;NR-32;I3
132513-2;NR-32;I3
132514-0;NR-32;I3
132515-9;NR-32;I3
132516-7;NR-32;I3
132517-5;NR-32;I3
132518-3;NR-32;I3
132519-1;NR-32;I3
132520-5;NR-32;I3
132521-3;NR-32;I3
132522-1;NR-32;I3
132523-0;NR-32;I3
132524-8;NR-32;I3
132525-6;NR-32;I3
132526-4;NR-32;I4
132527-2;NR-32;I4
132528-0;NR-32;I4
132529-9;NR-32;I3
132530-2;NR-32;I3
132531-0;NR-32;I3
132532-9;NR-32;I3
132533-7;NR-32;I4
132534-5;NR-32;I3
132535-3;NR-32;I3
132536-1;NR-32;I2
132537-0;NR-32;I3
132538-8;NR-32;I3
132539-6;NR-32;I2
132540-0;NR-32;I2
132541-8;NR-32;I2
132542-6;NR-32;I2
132543-4;NR-32;I4
132544-2;NR-32;I4
132545-0;NR-32;I4
132546-9;NR-32;I3
132547-7;NR-32;I3
132548-5;NR-32;I2
132549-3;NR-32;I2
132550-7;NR-32;I3
132551-5;NR-32;I3
132552-3;NR-32;I3
132553-1;NR-32;I3
132554-0;NR-32;I3
132555-8;NR-32;I3
132556-6;NR-32;I3
132557-4;NR-32;I3
132558-2;NR-32;I3
132559-0;NR-32;I3
132560-4;NR-32;I4
132561-2;NR-32;I3
132562-0;NR-32;I3
132563-9;NR-32;I3
132564-7;NR-32;I4
132565-5;NR-32;I4
132566-3;NR-32;I4
132567-1;NR-32;I4
132568-0;NR-32;I4
